Worksheet Filter,Measure Display,Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,Region,Region Type,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id
Value,,1,1.079968982,-0.6%,-6.0%,Oakland,71,-18.4%,-7.8%,68,1.5%,4.6%,17,2,3,557.761247878,0.025871925,0.052634540,569000,-0.013864818,0.118977384,642.499494096,0.086031403,0.063044618,$665K,15.7%,25.0%,1,0.2,0.2,73,0.0%,-6.4%,6/1/2017,30,6/30/2017,0.294117647,0.159789289,0.201809955,Condo/Co-op,"Oakland, CA",place,0.760563380,-0.021045815,-0.135540516,California,CA,13654
Value,,1,1.120842370,4.7%,8.6%,Berkeley,6,0.0%,-25.0%,6,-25.0%,100.0%,14,-19,-8,668.604651163,0.022861841,0.231258881,575000,-0.078525641,-0.200278164,694.627026663,0.214376706,0.261524051,$600K,-15.7%,8.3%,1,-0.3,0.6,5,-16.7%,25.0%,11/1/2016,30,11/30/2016,0.166666667,0.041666667,,Condo/Co-op,"Berkeley, CA",place,1,0.333333333,0.25,California,CA,1590
Value,,1,1.044079009,0.7%,5.5%,Alameda,5,-50.0%,-28.6%,4,33.3%,33.3%,14,-16,-20,448.325205377,-0.044227005,0.058471935,399000,-0.158128386,0.024390244,485.294117647,0.048062344,0.210446247,$445K,4.8%,1.4%,0.8,0.5,0.4,5,150.0%,0.0%,1/1/2016,30,1/31/2016,,,,Condo/Co-op,"Alameda, CA",place,0.8,0.1,0.371428571,California,CA,117
Value,,1,1.141327770,6.7%,5.3%,Berkeley,8,0.0%,-20.0%,16,100.0%,700.0%,19,4,2,604.456478773,0.044813226,0.199704981,564500,0.146192893,-0.017406440,679.983977062,0.051179006,0.109945658,$608K,34.3%,38.1%,2,1,1.8,18,125.0%,350.0%,5/1/2015,30,5/31/2015,,,,Condo/Co-op,"Berkeley, CA",place,0.75,0.125,0.05,California,CA,1590
Value,,1,1.017825254,-0.9%,0.4%,San Ramon,28,3.7%,40.0%,26,30.0%,-25.7%,13,2,4,421.774056510,-0.046991477,-0.035356116,514495,0.052137014,0.214864227,448.381399070,0.004749941,0.103490448,$479K,6.3%,6.5%,0.9,0.2,-0.9,28,12.0%,-12.5%,6/1/2015,30,6/30/2015,0.076923077,-0.073076923,-0.123076923,Condo/Co-op,"San Ramon, CA",place,0.678571429,-0.136243386,0.078571429,California,CA,17519
Value,,1,1.037453490,-2.7%,-2.3%,Alameda,9,50.0%,-18.2%,8,60.0%,-20.0%,31,13,16,573.492464710,0.151453702,0.117947336,588500,-0.094615385,0.178178178,582.147477361,0.039474612,0.059962030,$580K,-24.7%,10.5%,0.9,0.1,0,12,140.0%,33.3%,5/1/2018,30,5/31/2018,,,,Condo/Co-op,"Alameda, CA",place,0.777777778,-0.055555556,0.050505051,California,CA,117
Value,,1,1.017237526,1.9%,1.1%,San Ramon,19,72.7%,5.6%,14,55.6%,-22.2%,13,5,4,479.587581094,-0.001495081,0.152505568,532475,-0.030100182,0.132925532,481.308411215,0.085766096,0.118437391,$515K,9.8%,20.6%,0.7,-0.1,-0.3,22,46.7%,-24.1%,3/1/2016,30,3/31/2016,0.357142857,,0.246031746,Condo/Co-op,"San Ramon, CA",place,0.526315789,0.162679426,0.026315789,California,CA,17519
Value,,1,1.074478819,1.3%,9.4%,Oakland,47,23.7%,-27.7%,63,26.0%,-62.7%,15,2,-24,318.322981366,0.108235565,0.504923903,275000,-0.090590422,0.381909548,335.673039807,0.001393314,0.556287500,$290K,-12.1%,26.1%,1.3,0,-1.3,57,1.8%,-31.3%,4/1/2013,30,4/30/2013,0.095238095,-0.104761905,-0.100028177,Condo/Co-op,"Oakland, CA",place,0.808510638,0.124300112,0.516202946,California,CA,13654
Value,,1,1.032004188,-2.2%,0.6%,Oakland,35,-42.6%,16.7%,45,32.4%,-36.6%,34,13,8,435.483870968,-0.012903226,0.136044881,392000,0.123209169,0.062330623,450.664136622,0.046348505,0.159985652,$361K,-21.5%,7.8%,1.3,0.7,-1.1,50,100.0%,-29.6%,1/1/2015,30,1/31/2015,0.022222222,-0.360130719,-0.160876369,Condo/Co-op,"Oakland, CA",place,0.571428571,-0.100702576,0.004761905,California,CA,13654
Value,,1,1.027103518,2.3%,0.6%,Dublin,21,10.5%,162.5%,40,29.0%,110.5%,13,0,2,337.962962963,-0.036030938,0.183484848,488500,0.178670527,0.376056338,357.394366197,0.040648302,0.348698761,$445K,-4.5%,21.2%,1.9,0.3,-0.5,29,11.5%,93.3%,9/1/2013,30,9/30/2013,0.2,-0.219354839,-0.010526316,Condo/Co-op,"Dublin, CA",place,0.666666667,0.192982456,-0.208333333,California,CA,5159
Value,,1,1.017884368,-1.9%,-0.9%,Alameda,7,-30.0%,-12.5%,11,120.0%,-21.4%,19,-13,0,384.105834343,0.013484489,0.097078202,459500,0.363501484,0.151629073,402.597402597,-0.044949127,0.118365310,$319K,-34.2%,-19.6%,1.6,1.1,-0.2,14,250.0%,7.7%,9/1/2014,30,9/30/2014,0.090909091,-0.109090909,0.019480519,Condo/Co-op,"Alameda, CA",place,0.571428571,-0.128571429,-0.053571429,California,CA,117
Value,,1,1.012350549,-1.7%,2.8%,Oakland,55,-16.7%,-17.9%,98,-20.3%,-65.7%,30,-14,-40,230.101302460,-0.028927435,0.136065008,214950,-0.1402,0.017274018,246.742482977,0.091848373,0.183267285,$225K,0.0%,18.4%,1.8,-0.100000000,-2.5,52,-24.6%,-38.1%,8/1/2012,30,8/31/2012,0.173469388,0.010867762,-0.120236906,Condo/Co-op,"Oakland, CA",place,0.4,-0.054545455,0.026865672,California,CA,13654
Value,,1,1.035901232,0.4%,1.6%,Fremont,36,0.0%,-7.7%,33,-10.8%,17.9%,14,-7,0,495.920634921,0.024318466,0.193785334,415000,-0.129979036,0.024200753,490.714285714,-0.030637817,0.234700461,$466K,-7.4%,13.0%,0.9,-0.1,0.2,29,-23.7%,20.8%,10/1/2015,30,10/31/2015,0.090909091,-0.152334152,-0.230519481,Condo/Co-op,"Fremont, CA",place,0.777777778,0.138888889,0.162393162,California,CA,6671
Value,,1,1.043347079,1.1%,0.4%,Oakland,42,20.0%,13.5%,48,6.7%,-42.9%,26,-8,9,413.764510779,-0.049874086,0.155119751,385000,-0.017857143,-0.030226700,419.484702093,-0.069185524,-0.001606409,$385K,6.6%,-7.2%,1.1,-0.2,-1.2,61,22.0%,-7.6%,2/1/2015,30,2/28/2015,0.083333333,0.061111111,0,Condo/Co-op,"Oakland, CA",place,0.571428571,0,0.003861004,California,CA,13654
Value,,1,1.007373326,-0.8%,-2.8%,San Ramon,32,45.5%,68.4%,26,-10.3%,52.9%,21,9,12,489.811320755,0.079415976,0.106740341,555000,0.049149338,0.144329897,486.286928236,0.004706092,0.106433484,$520K,-0.6%,3.4%,0.8,-0.5,-0.1,17,-41.4%,-19.0%,8/1/2016,30,8/31/2016,0.423076923,0.216180371,0.187782805,Condo/Co-op,"San Ramon, CA",place,0.625,0.034090909,-0.006578947,California,CA,17519
Value,,1,1.126333533,-0.1%,-0.5%,Berkeley,10,11.1%,-52.4%,10,-33.3%,-28.6%,15,0,0,563.909774436,-0.257914325,0.040006649,619000,0.045608108,0.053706698,666.168478261,-0.121968104,-0.066170597,$782K,7.8%,29.6%,1,-0.7,0.3,11,-38.9%,-38.9%,7/1/2016,30,7/31/2016,,,,Condo/Co-op,"Berkeley, CA",place,0.8,-0.088888889,-0.104761905,California,CA,1590
Value,,1,1.021345287,-1.7%,0.6%,Fremont,30,-16.7%,-18.9%,38,-11.6%,-17.4%,14,0,-8,373.824786325,-0.104396132,0.035365301,399000,-0.033781329,0.164963504,425.587323572,0.027564993,0.179728061,$452K,9.9%,29.0%,1.3,0.1,0.1,45,7.1%,-2.2%,8/1/2014,30,8/31/2014,0.315789474,0.152998776,0.011441648,Condo/Co-op,"Fremont, CA",place,0.566666667,-0.211111111,-0.081981982,California,CA,6671
Value,,1,1.049224394,-1.7%,-4.8%,Alameda,10,11.1%,11.1%,12,9.1%,100.0%,16,1,2,574.454119060,0.079122701,0.241490164,427000,-0.287145242,-0.040449438,578.075375889,-0.014758490,0.127246983,$634K,19.6%,-2.6%,1.2,0,0.5,8,-27.3%,33.3%,4/1/2017,30,4/30/2017,0.166666667,0.075757576,,Condo/Co-op,"Alameda, CA",place,0.9,-0.1,0.122222222,California,CA,117
Value,,1,1.007800693,-0.8%,-3.6%,Dublin,19,58.3%,18.8%,30,-3.2%,-6.3%,22,11,9,376.802750008,0.042835756,0.087108179,497444,0.060901537,0.135719488,359.183673469,0.033451032,0.075785562,$466K,-2.0%,9.0%,1.6,-1,-0.4,26,23.8%,-29.7%,5/1/2014,30,5/31/2014,0.166666667,0.069892473,-0.020833333,Condo/Co-op,"Dublin, CA",place,0.473684211,-0.192982456,-0.401315789,California,CA,5159
Value,,1,1.043567519,1.9%,4.9%,Alameda,12,71.4%,100.0%,8,-20.0%,0.0%,25,11,8,584.989676531,0.088619296,-0.070791046,869990,0.438,0.361486698,545.015129887,-0.053740973,0.107611746,$473K,-13.0%,-17.8%,0.7,-0.7,-0.6,9,12.5%,800.0%,12/1/2017,30,12/31/2017,,,,Condo/Co-op,"Alameda, CA",place,0.75,0.035714286,0.583333333,California,CA,117
Value,,1,1.029267284,2.3%,0.2%,San Ramon,23,27.8%,43.8%,16,-11.1%,6.7%,11,2,2,433.734939759,0.042316258,0.131662252,454450,-0.033085106,0.101696970,448.577680525,0.042379562,0.176411734,$528K,23.7%,29.9%,0.7,-0.3,-0.2,28,-3.4%,55.6%,4/1/2015,30,4/30/2015,0.1875,0.076388889,-0.079166667,Condo/Co-op,"San Ramon, CA",place,0.782608696,0.282608696,-0.029891304,California,CA,17519
Value,,1,1.085887572,-3.3%,-4.4%,Oakland,64,28.0%,6.7%,74,2.8%,0.0%,16,1,2,511.570247934,-0.045433242,0.184686777,499000,-0.031067961,0.163170163,570.203584089,-0.002960003,0.081067338,$578K,17.3%,16.1%,1.2,-0.2,0,69,-10.4%,-10.4%,8/1/2016,30,8/31/2016,0.175675676,-0.004879880,0.067567568,Condo/Co-op,"Oakland, CA",place,0.75,-0.13,-0.166666667,California,CA,13654
Value,,1,0.978838346,-1.1%,-1.1%,Berkeley,4,-33.3%,-42.9%,27,8.0%,-46.0%,12,-44,-63,363.173938224,0.047867456,-0.097753850,358900,-0.091392405,-0.008563536,313.478679836,-0.004733246,-0.158085831,$345K,6.6%,-1.4%,6.8,2.6,-0.3,11,0.0%,-21.4%,4/1/2012,30,4/30/2012,0.259259259,0.059259259,-0.040740741,Condo/Co-op,"Berkeley, CA",place,0,-0.5,-0.285714286,California,CA,1590
Value,,1,1.053134320,0.4%,-5.2%,Oakland,83,16.9%,43.1%,83,3.8%,6.4%,17,0,2,403.052064632,0.038643977,0.149057409,372000,-0.008000000,0.072046110,426.356589147,0.065891473,0.330749354,$395K,0.0%,26.0%,1,-0.1,-0.3,78,-7.1%,0.0%,5/1/2014,30,5/31/2014,0.060240964,-0.014759036,-0.042323139,Condo/Co-op,"Oakland, CA",place,0.614457831,-0.019344986,-0.126921479,California,CA,13654
Value,,1,0.98375,-8.1%,-5.6%,Berkeley,2,-75.0%,-50.0%,12,9.1%,33.3%,50,34,-27,555.991516215,-0.050264820,0.229228055,475000,0.218298588,0.382823872,571.840659341,0.286092743,0.637447059,$362K,-35.0%,-2.1%,6,4.6,3.7,8,700.0%,33.3%,1/1/2015,30,1/31/2015,,,,Condo/Co-op,"Berkeley, CA",place,0,-0.75,-0.25,California,CA,1590
Value,,1,1.009008942,-1.8%,-1.3%,Dublin,26,23.8%,62.5%,35,-12.5%,59.1%,14,1,-10,346.604046243,0.025568137,0.166174144,449500,-0.079836233,0.198666667,322.519151030,-0.097581883,0.232758143,$423K,-5.0%,26.0%,1.3,-0.6,-0.100000000,21,-27.6%,40.0%,10/1/2013,30,10/31/2013,0.171428571,-0.028571429,0.080519481,Condo/Co-op,"Dublin, CA",place,0.423076923,-0.243589744,-0.139423077,California,CA,5159
Value,,1,1.156691432,4.8%,16.6%,Berkeley,5,-37.5%,-28.6%,16,128.6%,-23.8%,10,-9,-7,377.867746289,-0.247287449,0.038644095,430000,0.146666667,0.230329041,356.793743891,-0.132349765,0.020883834,$426K,5.4%,-5.3%,3.2,2.3,0.2,11,57.1%,-21.4%,2/1/2013,30,2/28/2013,0.125,-0.017857143,0.077380952,Condo/Co-op,"Berkeley, CA",place,0.6,-0.025,0.314285714,California,CA,1590
Value,,1,1.060349383,1.3%,2.2%,Fremont,38,-28.3%,5.6%,34,54.5%,-20.9%,13,-4,-1,478.517333333,0.029818857,0.146424716,488800,0.075467547,0.183678411,483.729292929,-0.006035699,0.167946647,$458K,-7.4%,11.3%,0.9,0.5,-0.3,49,11.4%,16.7%,7/1/2015,30,7/31/2015,0.117647059,-0.155080214,-0.045143639,Condo/Co-op,"Fremont, CA",place,0.868421053,0.038232373,0.090643275,California,CA,6671
Value,,1,0.980140820,0.2%,1.7%,Oakland,65,6.6%,32.7%,169,1.8%,-47.7%,39,-64,-57,211.520981669,-0.070610471,-0.043821813,199000,-0.166142887,-0.047846890,215.688322289,0.072679308,0.003080631,$230K,18.0%,15.6%,2.6,-0.1,-4,83,-7.8%,-8.8%,4/1/2012,30,4/30/2012,0.195266272,-0.039673487,-0.049315771,Condo/Co-op,"Oakland, CA",place,0.292307692,0.046406053,0.006593407,California,CA,13654
Value,,1,1.005019115,2.1%,3.5%,San Ramon,23,130.0%,360.0%,27,-12.9%,-68.2%,27,-69,-36,230.129390018,-0.003242943,0.034911975,228000,-0.049802042,0.382656155,230.244023743,0.019945130,-0.042592889,$225K,47.5%,8.7%,1.2,-1.9,-15.8,21,16.7%,-36.4%,1/1/2012,30,1/31/2012,0.185185185,0.088410992,-0.108932462,Condo/Co-op,"San Ramon, CA",place,0.434782609,-0.065217391,0.034782609,California,CA,17519
Value,,1,1.097373858,5.6%,-2.4%,Berkeley,6,-14.3%,-60.0%,19,46.2%,18.8%,14,1,-2,743.970381346,0.025391419,0.058357865,695000,-0.078249337,0.120967742,845.465155496,-0.005707645,0.068360515,$675K,-4.0%,-6.9%,3.2,1.3,2.1,15,7.1%,-40.0%,6/1/2018,30,6/30/2018,0.210526316,,,Condo/Co-op,"Berkeley, CA",place,0.666666667,-0.047619048,-0.133333333,California,CA,1590
Value,,1,1.038267880,-1.3%,1.3%,Dublin,27,50.0%,12.5%,22,120.0%,4.8%,8,-1,-2,507.410981038,0.014196879,0.093659639,707000,0.083617904,0.198508222,491.341991342,-0.022214196,0.090788658,$681K,1.6%,9.1%,0.8,0.2,-0.1,34,0.0%,3.0%,6/1/2018,30,6/30/2018,0.045454545,-0.254545455,-0.240259740,Condo/Co-op,"Dublin, CA",place,0.851851852,0.018518519,0.018518519,California,CA,5159
Value,,1,1.032211084,-3.3%,1.2%,Dublin,15,0.0%,36.4%,18,0.0%,-28.0%,10,1,-171,325.605469297,0.016703307,0.272132996,412000,0.177142857,0.477231983,312.237984945,-0.116787498,0.255814313,$435K,17.6%,35.9%,1.2,0,-1.1,20,-9.1%,5.3%,4/1/2013,30,4/30/2013,,,,Condo/Co-op,"Dublin, CA",place,0.6,-0.2,0.145454545,California,CA,5159
Value,,1,1.060673519,1.7%,7.6%,Dublin,19,18.8%,26.7%,27,-15.6%,35.0%,9,-4,-6,328.806290207,-0.051365715,0.258041458,469000,0.070778700,0.470219436,350,0.048279681,0.465483871,$470K,9.9%,51.6%,1.4,-0.6,0.100000000,27,-27.0%,42.1%,6/1/2013,30,6/30/2013,0.148148148,-0.039351852,0.048148148,Condo/Co-op,"Dublin, CA",place,0.789473684,-0.085526316,0.389473684,California,CA,5159
Value,,1,1.030225149,-1.8%,-3.2%,Fremont,40,17.6%,2.6%,26,-10.3%,-27.8%,14,0,2,566.721581549,0.061411267,0.064330775,549900,0.029775281,0.039508507,560.863301950,0.024503719,0.065640274,$554K,4.5%,6.7%,0.7,-0.2,-0.2,35,-12.5%,-14.6%,5/1/2017,30,5/31/2017,0.192307692,0.019893899,0.025641026,Condo/Co-op,"Fremont, CA",place,0.725,-0.098529412,-0.146794872,California,CA,6671
Value,,1,1.113344743,-3.2%,3.9%,Berkeley,11,-21.4%,-8.3%,9,50.0%,-10.0%,15,0,-2,634.868421053,-0.234815615,0.092860355,599000,-0.059654631,-0.025223759,839.160839161,0.027972028,0.115716854,$668K,-10.0%,-1.1%,0.8,0.4,0,11,175.0%,83.3%,8/1/2017,30,8/31/2017,,,,Condo/Co-op,"Berkeley, CA",place,0.818181818,-0.181818182,-0.015151515,California,CA,1590
Value,,1,1.038055115,0.1%,5.0%,Berkeley,7,-12.5%,-53.3%,4,-50.0%,-33.3%,22,0,-19,285.357142857,-0.458554507,-0.126259432,799000,0.084124830,1.189640998,438.388625592,-0.166162013,0.032648763,$390K,-19.2%,14.6%,0.6,-0.4,0.2,1,-75.0%,-75.0%,12/1/2013,30,12/31/2013,,,,Condo/Co-op,"Berkeley, CA",place,0.571428571,-0.053571429,0.238095238,California,CA,1590
Value,,1,1.072814884,1.1%,1.8%,Oakland,69,19.0%,43.8%,69,-28.9%,6.2%,17,1,0,399.764150943,0.115443264,0.361736298,339000,-0.028653295,0.102439024,374.635186096,0.027731937,0.371104527,$329K,-11.9%,27.0%,1,-0.7,-0.4,41,-43.8%,20.6%,11/1/2013,30,11/30/2013,0.173913043,0.008964590,-0.026086957,Condo/Co-op,"Oakland, CA",place,0.695652174,0.057721139,0.091485507,California,CA,13654
Value,,1,1.012598897,-1.6%,-6.0%,Fremont,23,-37.8%,21.1%,21,31.3%,10.5%,20,6,2,379.810751101,0.035098797,0.375838318,372500,-0.068619607,0.366972477,375.111111111,-0.003737157,0.243789474,$366K,-5.2%,28.4%,0.9,0.5,-0.1,28,75.0%,16.7%,1/1/2014,30,1/31/2014,0.190476190,0.002976190,0.137844612,Condo/Co-op,"Fremont, CA",place,0.608695652,-0.012925969,-0.233409611,California,CA,6671
Value,,1,0.992720114,-1.0%,-0.7%,San Ramon,10,-41.2%,-9.1%,14,55.6%,40.0%,29,18,10,457.401372213,0.028400831,0.031835078,599000,-0.208251107,0.263713080,529.194725092,0.162853863,0.280309819,$484K,-12.9%,-15.2%,1.4,0.9,0.5,19,533.3%,58.3%,1/1/2017,30,1/31/2017,,,,Condo/Co-op,"San Ramon, CA",place,0.2,-0.329411765,-0.163636364,California,CA,17519
Value,,1,1.057572434,2.7%,3.7%,Fremont,22,-15.4%,-38.9%,19,0.0%,-53.7%,11,-3,-5,555.019305019,0.009752993,0.091130137,539000,0.009552351,-0.009191176,536.446163350,-0.048052043,0.053390455,$568K,-5.3%,7.2%,0.9,0.2,-0.2,31,19.2%,-18.4%,8/1/2017,30,8/31/2017,0.052631579,-0.052631579,-0.264441592,Condo/Co-op,"Fremont, CA",place,0.909090909,0.178321678,0.186868687,California,CA,6671
Value,,1,1.017284077,-0.3%,-1.5%,Fremont,36,0.0%,0.0%,32,-22.0%,-13.5%,22,6,1,497.732426304,-0.021491964,0.028060701,467944,-0.139808824,-0.018985325,499.969951788,-0.018235918,-0.012354076,$541K,2.0%,7.6%,0.9,-0.2,-0.1,28,-26.3%,-26.3%,9/1/2016,30,9/30/2016,0.40625,0.089176829,0.163006757,Condo/Co-op,"Fremont, CA",place,0.611111111,-0.111111111,-0.027777778,California,CA,6671
Value,,1,1.063164316,3.5%,11.9%,Alameda,9,50.0%,125.0%,9,-35.7%,-71.0%,42,4,-76,275.367688082,-0.095165333,0.088276126,262450,-0.220059435,-0.026159555,287.538304392,-0.026289897,0.255689375,$282K,-5.2%,26.5%,1,-1.3,-6.8,6,0.0%,50.0%,11/1/2012,30,11/30/2012,,,,Condo/Co-op,"Alameda, CA",place,0.444444444,-0.222222222,0.444444444,California,CA,117
Value,,1,0.986268793,-2.3%,0.4%,Alameda,14,40.0%,133.3%,14,-6.7%,-70.2%,25,6,-62,258.441558442,0.013772298,0.002439984,265900,0.124550645,-0.217711091,272.320810934,0.063689397,-0.030872361,$350K,17.1%,-0.6%,1,-0.5,-6.8,9,50.0%,-30.8%,6/1/2012,30,6/30/2012,0.357142857,0.223809524,-0.025835866,Condo/Co-op,"Alameda, CA",place,0.285714286,-0.214285714,-0.047619048,California,CA,117
Value,,1,1.046796608,-4.2%,0.2%,Berkeley,11,10.0%,22.2%,13,550.0%,-13.3%,25,8,9,528.373266078,0.048697568,0.195889031,459000,-0.201044386,0.021134594,457.025920873,-0.253991339,-0.097616905,$500K,13.6%,11.1%,1.2,1,-0.5,17,325.0%,-5.6%,6/1/2014,30,6/30/2014,0.076923077,-0.423076923,-0.056410256,Condo/Co-op,"Berkeley, CA",place,0.545454545,-0.154545455,-0.010101010,California,CA,1590
Value,,1,1.063388112,1.5%,2.9%,Alameda,8,33.3%,0.0%,3,-70.0%,50.0%,15,1,-4,361.728699261,-0.108995774,0.093400584,318500,-0.328059072,-0.059084195,437.249261629,0.060834865,0.324141387,$511K,2.5%,29.2%,0.4,-1.3,0.1,2,-75.0%,-50.0%,12/1/2014,30,12/31/2014,0.333333333,0.133333333,-0.166666667,Condo/Co-op,"Alameda, CA",place,0.75,-0.083333333,-0.125,California,CA,117
Value,,1,1.029514509,-5.6%,2.4%,San Ramon,7,-50.0%,-69.6%,7,600.0%,-74.1%,9,-6,-18,318.853937043,0.087777234,0.385542008,359000,-0.187736863,0.574561404,263.949275362,-0.011828455,0.146389257,$475K,109.3%,111.1%,1,0.9,-0.2,12,500.0%,-42.9%,1/1/2013,30,1/31/2013,0.142857143,,-0.042328042,Condo/Co-op,"San Ramon, CA",place,0.571428571,-0.285714286,0.136645963,California,CA,17519
Value,,1,1.040794497,3.0%,7.0%,Alameda,10,42.9%,66.7%,,,,18,6,-96,347.874310371,0.149319256,0.450468301,310000,-0.046153846,-0.130434783,286.430830567,-0.046421050,0.281478432,$285K,-17.4%,20.9%,,,,9,28.6%,28.6%,3/1/2013,30,3/31/2013,,,,Condo/Co-op,"Alameda, CA",place,0.7,0.271428571,0.533333333,California,CA,117
Value,,1,1.024605371,-1.1%,1.2%,Dublin,18,-33.3%,-10.0%,17,-19.0%,-48.5%,11,3,1,422.597864769,0.018138619,0.143873920,500000,-0.019127023,0.063829787,427.715164126,0.031723361,0.094090603,$543K,-1.6%,28.1%,0.9,0.1,-0.8,19,-20.8%,-29.6%,6/1/2015,30,6/30/2015,0.176470588,0.081232493,0.085561497,Condo/Co-op,"Dublin, CA",place,0.611111111,-0.240740741,-0.088888889,California,CA,5159
Value,,1,1.048442637,-0.9%,3.1%,Fremont,32,45.5%,-11.1%,18,-5.3%,-43.8%,12,1,-10,555.555555556,0.000966184,0.116173121,529800,-0.017068646,0.132186757,587.611572792,0.095378461,0.175293777,$563K,-0.9%,4.2%,0.6,-0.3,-0.3,23,-25.8%,-17.9%,9/1/2017,30,9/30/2017,0.055555556,0.002923977,-0.350694444,Condo/Co-op,"Fremont, CA",place,0.8125,-0.096590909,0.201388889,California,CA,6671
Value,,1,1.064695019,2.3%,-4.6%,Oakland,71,12.7%,9.2%,86,10.3%,-14.0%,15,-1,0,410.628019324,0.037130661,0.143776884,369000,-0.075187970,0.005586592,426.519337017,-0.048026428,0.085467751,$395K,-7.5%,5.9%,1.2,0,-0.3,75,21.0%,-14.8%,7/1/2014,30,7/31/2014,0.186046512,-0.006261181,0.086046512,Condo/Co-op,"Oakland, CA",place,0.676056338,0.104627767,-0.123943662,California,CA,13654
Value,,1,1.123475863,-0.2%,8.2%,Oakland,85,37.1%,34.9%,64,20.8%,-17.9%,14,0,-2,456.790671708,0.001637377,0.153724512,439000,0.070992925,0.100250627,498.575498575,-0.003679962,0.112799953,$490K,7.6%,14.8%,0.8,-0.1,-0.4,74,-3.9%,19.4%,6/1/2015,30,6/30/2015,0.109375,-0.003832547,-0.082932692,Condo/Co-op,"Oakland, CA",place,0.858823529,-0.012144213,0.287394958,California,CA,13654
Value,,1,1.060459209,-3.2%,8.2%,Berkeley,9,0.0%,125.0%,11,37.5%,-59.3%,22,4,10,506.465517241,0.040582887,0.394553584,449950,0.127694236,0.253691836,485.314685315,0.004277855,0.548158508,$445K,8.5%,28.9%,1.2,0.3,-5.6,13,44.4%,18.2%,4/1/2013,30,4/30/2013,0.181818182,-0.068181818,-0.077441077,Condo/Co-op,"Berkeley, CA",place,0.444444444,-0.333333333,0.444444444,California,CA,1590
Value,,1,0.986916630,2.7%,5.0%,Oakland,36,-30.8%,-12.2%,205,-10.9%,-31.9%,76,23,-1,202.731782640,0.012174786,-0.193351263,198500,-0.036407767,-0.133187773,178.170706672,-0.120734142,-0.181346361,$184K,1.0%,-18.2%,5.7,1.3,-1.6,70,42.9%,-13.6%,1/1/2012,30,1/31/2012,0.263414634,-0.014846235,-0.022299652,Condo/Co-op,"Oakland, CA",place,0.277777778,0.047008547,0.131436314,California,CA,13654
Value,,1,1.087454462,1.3%,-0.1%,Oakland,45,-29.7%,-19.6%,69,3.0%,-25.8%,14,-3,-2,556.318681319,0.029366800,0.068758706,549000,-0.048526863,0,630.919220056,0.078136216,0.125262985,$560K,-6.7%,12.0%,1.5,0.5,-0.2,77,20.3%,-9.4%,9/1/2017,30,9/30/2017,0.159420290,0.025091932,-0.023375409,Condo/Co-op,"Oakland, CA",place,0.844444444,0.016319444,0.076587302,California,CA,13654
Value,,1,1.059967782,1.2%,3.3%,Fremont,24,-25.0%,-20.0%,15,-16.7%,-28.6%,11,-1,-6,555.687203791,0.000236967,0.121547171,488888,-0.077221593,-0.020044579,576.283696303,-0.019277831,0.118122850,$534K,-5.2%,4.7%,0.6,0,-0.1,29,26.1%,123.1%,10/1/2017,30,10/31/2017,0.133333333,0.077777778,-0.057142857,Condo/Co-op,"Fremont, CA",place,0.916666667,0.104166667,0.183333333,California,CA,6671
Value,,1,1.056924220,2.4%,7.0%,Dublin,11,-35.3%,-15.4%,27,12.5%,-60.9%,8,-6,-11,263.157894737,0.025233751,0.138596491,339000,-0.031359383,0.198938992,294.471153846,0.118990385,0.175996980,$400K,23.1%,7.0%,2.5,1.1,-2.8,19,-13.6%,-20.8%,8/1/2012,30,8/31/2012,0.037037037,-0.087962963,-0.122383253,Condo/Co-op,"Dublin, CA",place,1,0.352941176,0.615384615,California,CA,5159
Value,,1,1.002588621,-1.5%,-0.4%,Fremont,15,-31.8%,-37.5%,8,-20.0%,-72.4%,20,4,-5,517.857142857,0.028403361,0.104173012,435000,-0.147058824,-0.084210526,521.327014218,0.055015830,0.009527540,$510K,6.5%,22.6%,0.5,0,-0.7,17,88.9%,-51.4%,1/1/2017,30,1/31/2017,0.125,-0.075,0.056034483,Condo/Co-op,"Fremont, CA",place,0.533333333,-0.148484848,0.116666667,California,CA,6671
Value,,1,1.004887313,-1.5%,3.4%,Alameda,6,20.0%,-33.3%,4,0.0%,-78.9%,30,15,-60,268.913857678,-0.194125891,0.143169280,365000,0.177419355,1.213462705,270.554812834,0.013590713,0.144221396,$325K,10.2%,35.4%,0.7,-0.1,-1.4,5,0.0%,400.0%,1/1/2013,30,1/31/2013,,,,Condo/Co-op,"Alameda, CA",place,0.666666667,-0.133333333,0.555555556,California,CA,117
