Worksheet Filter,Measure Display,Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,Region,Region Type,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id
Value,,1,1.013384522,0.6%,-1.8%,San Ramon,15,-53.1%,-40.0%,32,23.1%,146.2%,16,-5,-2,500.463392030,0.021747295,0.126694901,549900,-0.009189189,0.224721604,464.231354642,-0.045355062,0.018100877,$490K,-5.8%,4.3%,2.1,1.3,1.6,27,58.8%,58.8%,9/1/2016,30,9/30/2016,0.21875,-0.204326923,-0.165865385,Condo/Co-op,"San Ramon, CA",place,0.733333333,0.108333333,0.173333333,California,CA,17519
Value,,1,0.999636961,0.4%,-4.9%,San Ramon,11,-8.3%,83.3%,16,14.3%,100.0%,13,-4,6,392.923947272,-0.011927247,0.207623475,429900,0.051100244,0.237122302,369.583687341,-0.080634763,0.170464244,$435K,8.7%,19.2%,1.5,0.3,0.2,16,6.7%,0.0%,2/1/2014,30,2/28/2014,0.125,0.053571429,,Condo/Co-op,"San Ramon, CA",place,0.272727273,-0.143939394,-0.560606061,California,CA,17519
Value,,1,1.029161081,2.5%,5.9%,Fremont,30,11.1%,-16.7%,35,6.1%,-61.5%,19,5,-22,242.849771488,-0.055630472,0.199766990,249900,0.000600601,0.285493827,255.282407003,0.029538931,0.130413357,$250K,4.3%,6.9%,1.2,0,-1.3,35,-20.5%,-22.2%,8/1/2012,30,8/31/2012,0.114285714,-0.067532468,-0.116483516,Condo/Co-op,"Fremont, CA",place,0.7,0.255555556,0.394444444,California,CA,6671
Value,,1,1.121108731,-5.3%,-0.6%,Berkeley,15,114.3%,66.7%,16,60.0%,6.7%,16,0,1,702.947845805,0.027928260,-0.074945053,620000,-0.044684129,0.047297297,791.366906475,0.381143506,0.043047529,$725K,-10.3%,0.0%,1.1,-0.3,-0.6,25,66.7%,38.9%,6/1/2017,30,6/30/2017,,,,Condo/Co-op,"Berkeley, CA",place,0.8,-0.057142857,-0.088888889,California,CA,1590
Value,,1,1.056006735,2.3%,7.2%,Berkeley,2,-75.0%,0.0%,2,0.0%,-83.3%,14,0,-36,724.137931034,-0.001818419,0.302426224,468000,-0.076923077,-0.014736842,768.351700512,0.403081795,0.343646500,$538K,-12.9%,48.4%,1,0.7,-5,5,150.0%,-37.5%,1/1/2016,30,1/31/2016,,,,Condo/Co-op,"Berkeley, CA",place,1,0.25,1,California,CA,1590
Value,,1,1.101703286,-2.0%,-1.2%,Oakland,76,31.0%,40.7%,54,54.3%,-5.3%,14,0,2,523.196480938,0.028399748,0.157963132,455000,-0.087261785,0.140350877,579.048764680,-0.007247474,0.142096101,$498K,-12.3%,9.0%,0.7,0.1,-0.4,73,1.4%,-8.8%,4/1/2016,30,4/30/2016,0.037037037,-0.134391534,-0.068226121,Condo/Co-op,"Oakland, CA",place,0.776315789,-0.102994555,-0.001461988,California,CA,13654
Value,,1,1.051618087,2.8%,3.0%,Dublin,18,-14.3%,-14.3%,10,-33.3%,-47.4%,9,-3,2,500.308166410,0.091615615,0.118658863,652444,-0.099953097,0.087587931,502.504729962,0.001012263,-0.010867467,$671K,-6.1%,7.8%,0.6,-0.1,-0.3,34,36.0%,9.7%,5/1/2018,30,5/31/2018,0.3,0.033333333,0.194736842,Condo/Co-op,"Dublin, CA",place,0.833333333,0.023809524,0.166666667,California,CA,5159
Value,,1,1.074778729,-2.0%,-3.8%,Berkeley,8,14.3%,0.0%,8,14.3%,-20.0%,15,-2,0,578.530653738,-0.021921614,0.028015623,492500,0.158823529,0.172619048,646.877432810,0.049675339,0.126388706,$453K,33.1%,-22.3%,1,0,-0.3,8,14.3%,-38.5%,4/1/2015,30,4/30/2015,0.125,,,Condo/Co-op,"Berkeley, CA",place,0.625,0.053571429,-0.125,California,CA,1590
Value,,1,1.008864672,-1.7%,4.3%,Berkeley,14,16.7%,133.3%,22,-4.3%,-35.3%,42,10,-3,395.834464965,-0.158192945,0.063203974,429000,-0.006944444,0.075187970,349.871939030,-0.146853030,-0.073250627,$388K,-2.9%,5.0%,1.6,-0.3,-4.1,8,-42.9%,-11.1%,9/1/2012,30,9/30/2012,0.090909091,-0.169960474,-0.262032086,Condo/Co-op,"Berkeley, CA",place,0.5,-0.166666667,0.5,California,CA,1590
Value,,1,1.025707632,-4.7%,0.7%,Oakland,60,-13.0%,42.9%,50,-27.5%,-13.8%,29,12,-11,406.666666667,0.017266470,0.451348148,389000,0.147492625,0.318644068,378.486055777,0.010278986,0.307965217,$373K,13.2%,37.5%,0.8,-0.2,-0.6,23,-43.9%,-25.8%,12/1/2013,30,12/31/2013,0.06,-0.113913043,-0.043448276,Condo/Co-op,"Oakland, CA",place,0.55,-0.145652174,0.097619048,California,CA,13654
